Event_Type,Time,Source_Node,Destination_Node,Protocol,Packet_Size,Flags,Flow_ID,Source_Address,Destination_Address,Sequence_Number,Packet_ID
-,1.44864,0,1,tcp,1040,-------,0,0.0,1.0,51,84
r,1.45032,0,1,tcp,1040,-------,0,0.0,1.0,49,80
+,1.45032,1,0,ack,40,-------,0,1.0,0.0,49,117
-,1.45032,1,0,ack,40,-------,0,1.0,0.0,49,117
r,1.45232,1,0,ack,40,-------,0,1.0,0.0,48,115
+,1.45232,0,1,tcp,1040,-------,0,0.0,1.0,68,118
-,1.45696,0,1,tcp,1040,-------,0,0.0,1.0,52,86
r,1.45864,0,1,tcp,1040,-------,0,0.0,1.0,50,82
+,1.45864,1,0,ack,40,-------,0,1.0,0.0,50,119
-,1.45864,1,0,ack,40,-------,0,1.0,0.0,50,119
r,1.46064,1,0,ack,40,-------,0,1.0,0.0,49,117
+,1.46064,0,1,tcp,1040,-------,0,0.0,1.0,69,120
-,1.46528,0,1,tcp,1040,-------,0,0.0,1.0,53,88
r,1.46696,0,1,tcp,1040,-------,0,0.0,1.0,51,84
+,1.46696,1,0,ack,40,-------,0,1.0,0.0,51,121
-,1.46696,1,0,ack,40,-------,0,1.0,0.0,51,121
r,1.46896,1,0,ack,40,-------,0,1.0,0.0,50,119
+,1.46896,0,1,tcp,1040,-------,0,0.0,1.0,70,122
-,1.4736,0,1,tcp,1040,-------,0,0.0,1.0,54,90
r,1.47528,0,1,tcp,1040,-------,0,0.0,1.0,52,86
+,1.47528,1,0,ack,40,-------,0,1.0,0.0,52,123
-,1.47528,1,0,ack,40,-------,0,1.0,0.0,52,123
r,1.47728,1,0,ack,40,-------,0,1.0,0.0,51,121
+,1.47728,0,1,tcp,1040,-------,0,0.0,1.0,71,124
-,1.48192,0,1,tcp,1040,-------,0,0.0,1.0,55,92
r,1.4836,0,1,tcp,1040,-------,0,0.0,1.0,53,88
+,1.4836,1,0,ack,40,-------,0,1.0,0.0,53,125
-,1.4836,1,0,ack,40,-------,0,1.0,0.0,53,125
r,1.4856,1,0,ack,40,-------,0,1.0,0.0,52,123
+,1.4856,0,1,tcp,1040,-------,0,0.0,1.0,72,126
-,1.49024,0,1,tcp,1040,-------,0,0.0,1.0,56,94
r,1.49192,0,1,tcp,1040,-------,0,0.0,1.0,54,90
+,1.49192,1,0,ack,40,-------,0,1.0,0.0,54,127
-,1.49192,1,0,ack,40,-------,0,1.0,0.0,54,127
r,1.49392,1,0,ack,40,-------,0,1.0,0.0,53,125
+,1.49392,0,1,tcp,1040,-------,0,0.0,1.0,73,128
-,1.49856,0,1,tcp,1040,-------,0,0.0,1.0,57,96
r,1.50024,0,1,tcp,1040,-------,0,0.0,1.0,55,92
+,1.50024,1,0,ack,40,-------,0,1.0,0.0,55,129
-,1.50024,1,0,ack,40,-------,0,1.0,0.0,55,129
r,1.50224,1,0,ack,40,-------,0,1.0,0.0,54,127
+,1.50224,0,1,tcp,1040,-------,0,0.0,1.0,74,130
-,1.50688,0,1,tcp,1040,-------,0,0.0,1.0,58,98
r,1.50856,0,1,tcp,1040,-------,0,0.0,1.0,56,94
+,1.50856,1,0,ack,40,-------,0,1.0,0.0,56,131
-,1.50856,1,0,ack,40,-------,0,1.0,0.0,56,131
r,1.51056,1,0,ack,40,-------,0,1.0,0.0,55,129
+,1.51056,0,1,tcp,1040,-------,0,0.0,1.0,75,132
-,1.5152,0,1,tcp,1040,-------,0,0.0,1.0,59,100
r,1.51688,0,1,tcp,1040,-------,0,0.0,1.0,57,96
+,1.51688,1,0,ack,40,-------,0,1.0,0.0,57,133
-,1.51688,1,0,ack,40,-------,0,1.0,0.0,57,133
r,1.51888,1,0,ack,40,-------,0,1.0,0.0,56,131
+,1.51888,0,1,tcp,1040,-------,0,0.0,1.0,76,134
-,1.52352,0,1,tcp,1040,-------,0,0.0,1.0,60,102
r,1.5252,0,1,tcp,1040,-------,0,0.0,1.0,58,98
+,1.5252,1,0,ack,40,-------,0,1.0,0.0,58,135
-,1.5252,1,0,ack,40,-------,0,1.0,0.0,58,135
r,1.5272,1,0,ack,40,-------,0,1.0,0.0,57,133
+,1.5272,0,1,tcp,1040,-------,0,0.0,1.0,77,136
-,1.53184,0,1,tcp,1040,-------,0,0.0,1.0,61,104
r,1.53352,0,1,tcp,1040,-------,0,0.0,1.0,59,100
+,1.53352,1,0,ack,40,-------,0,1.0,0.0,59,137
-,1.53352,1,0,ack,40,-------,0,1.0,0.0,59,137
r,1.53552,1,0,ack,40,-------,0,1.0,0.0,58,135
+,1.53552,0,1,tcp,1040,-------,0,0.0,1.0,78,138
-,1.54016,0,1,tcp,1040,-------,0,0.0,1.0,62,106
r,1.54184,0,1,tcp,1040,-------,0,0.0,1.0,60,102
+,1.54184,1,0,ack,40,-------,0,1.0,0.0,60,139
-,1.54184,1,0,ack,40,-------,0,1.0,0.0,60,139
r,1.54384,1,0,ack,40,-------,0,1.0,0.0,59,137
+,1.54384,0,1,tcp,1040,-------,0,0.0,1.0,79,140
-,1.54848,0,1,tcp,1040,-------,0,0.0,1.0,63,108
